LATITUD,LONGITUD,ALT_GEO
10.4622,-73.2804,179.8779144287109
10.4815,-73.2846,209.9539947509766
6.31058,-75.581,1792.045166015625
10.4498,-73.273,162.5773620605469
6.17524,-75.6088,1564.2685546875
6.23632,-75.5345,1728.141479492188
6.23351,-75.5329,1719.07958984375
6.23275,-75.5384,1666.897705078125
10.4015,-75.5056,11.1208381652832
10.4534,-73.2623,162.9080810546875
7.86688,-72.5253,364.9937438964844
6.26492,-75.6135,1629.25048828125
6.31344,-75.5664,1550.892456054688
6.17645,-75.6158,1628.253784179688
10.971,-74.8086,72.52098846435547
6.16885,-75.5922,1548.615966796875
8.77736,-75.8835,13.15407752990723
10.566883,-73.0141449,229.1862487792969
7.89723,-72.5331,317.4886779785156
10.3885256,-73.1678681,167.1240692138672
3.46161,-76.4873,951.8424682617188
6.35298,-75.4944,1460.29833984375
10.373,-75.4747,26.40030860900879
3.47412,-76.5081,962.9163818359375
10.3776,-75.4977,9.104040145874023
11.2033,-74.2271,4.711633205413818
8.76806,-75.8615,11.69697570800781
7.90028,-72.5043,298.9193725585938
10.853,-74.7855,24.50994682312012
6.3557,-75.4951,1428.966186523438
10.3908648,-73.1754662,150.4790802001953
8.72972,-75.8667,11.82105922698975
10.3867889,-73.1785746,145.3645324707031
11.2178,-74.1964,27.87456893920898
7.16488,-73.1399,644.7041015625
9.1119636,-76.09606529999999,44.94451904296875
9.2934074,-75.88990179999999,3.892697334289551
7.17848,-73.1361,775.7052001953125
8.75277,-75.8421,10.49807357788086
8.165134399999998,-76.0591554,51.23369216918945
3.43692,-76.471,947.0072021484375
6.35071,-75.5696,1508.918823242188
1.20057,-77.2593,2588.868896484375
3.38863,-76.5428,976.761962890625
7.94375,-72.4904,293.614990234375
3.41211,-76.534,963.9549560546875
11.3862579,-72.2768891,52.96215057373047
9.0163,-75.738541,5.844915866851807
8.412599799999999,-75.5837623,86.3928451538086
6.2633,-75.5921,1491.855590820312
9.9826378,-73.8910893,83.37367248535156
8.1759722,-76.0549248,51.45912933349609
8.552992999999999,-75.671137,144.6804504394531
1.19453,-77.2807,2584.853271484375
1.22009,-77.28,2520.511962890625
3.42993,-76.4742,949.7570190429688
5.05386,-75.5093,1903.327270507812
9.496125,-73.976122,85.94425201416016
7.13113,-73.1136,1026.452392578125
10.9122,-74.7861,31.14137268066406
8.1735121,-76.0612697,49.34369659423828
6.19127,-75.5778,1530.884887695312
10.9191,-74.7889,30.22664833068848
7.04731,-73.8325,95.14785766601562
10.9148,-74.7926,35.74466323852539
10.9116,-74.8094,64.97994995117188
4.9753088,-75.6123643,1433.662841796875
8.9581922,-75.8381647,10.12663745880127
8.155950499999998,-76.0746162,50.28341674804688
8.69997,-75.33336,83.9618148803711
8.503178,-75.5075239,109.7011947631836
1.8086735,-78.7666995,0.0
0.83065,-77.624,2900.304443359375
6.30767,-75.5843,1863.033325195312
7.3510872,-73.8991462,65.04661560058594
0.833264,-77.6439,2883.454833984375
6.29948,-75.5817,1738.33447265625
1.8043702,-78.77295300000002,2.429057598114014
7.341209799999999,-73.903498,63.94619750976562
5.04556,-75.508,1869.45751953125
2.640809,-76.5299617,1837.9755859375
2.6431742,-76.5257616,1834.8955078125
4.82683,-75.7274,1378.063110351562
3.38608,-76.5189,960.0582885742188
11.0274,-74.8705,21.17280197143555
6.21785,-75.6039,1554.071411132812
10.8664,-74.7849,25.27950286865234
7.09868,-73.0967,991.4571533203125
10.8719,-74.7776,22.05541038513184
3.43445,-76.4694,949.0011596679688
3.38249,-76.5367,976.1485595703125
4.4505814,-75.7968078,1186.83154296875
5.7996716,-75.9078669,967.6220092773438
6.3264666,-75.7699493,1156.60546875
4.4495092,-75.7862394,1192.109619140625
3.2628759,-77.1553198,88.72554016113281
5.7993488,-75.9048177,938.525146484375
3.5372,-76.3091,1001.512878417969
6.061617,-73.637199,1774.277709960938
4.4543973,-75.7826674,1189.261108398438
4.455902,-75.7826143,1188.922729492188
1.3846384,-77.1562308,1925.948608398438
5.800592,-75.9045711,942.2138061523438
1.6429021,-77.04493269999999,2205.550537109375
8.0951588,-76.7284559,4.34384298324585
1.289151,-77.35794000000001,2376.353271484375
4.8096809,-75.7011662,1371.791259765625
3.8802769,-76.9438622,79.33363342285156
3.51475,-76.2981,1001.013427734375
3.17754,-76.58946999999999,1036.429077148438
6.0108906,-73.6758108,2155.9892578125
6.0105675,-73.6704764,2084.24169921875
4.529822999999999,-76.1088001,978.8084106445312
4.71501,-74.0599,2553.42041015625
2.4448143,-76.6147395,1724.196655273438
4.2924457,-74.8126252,278.8201599121094
4.2793887,-74.819247,287.0322570800781
18.9603899,-98.2137792,2094.2587890625
3.228269,-76.582983,1010.536193847656
7.0112493,-73.908325,70.0254898071289
7.0111669,-73.9125809,70.74571228027344
3.13754,-74.93997,1754.084594726562
4.6315,-74.0606,2671.6484375
2.5041615,-76.1319953,2648.615478515625
4.5692,-74.1593,2695.96826171875
4.70887,-74.1415,2547.635009765625
6.25763,-75.5796,1473.381713867188
2.0212877,-75.7588266,924.2775268554688
6.17317,-75.5746,1606.403076171875
2.92543,-75.2779,453.8620300292969
6.27773,-75.5681,1460.434936523438
4.62048,-74.1833,2546.70068359375
4.2725994,-74.8062223,286.4540100097656
5.52555,-73.3743,2896.783203125
6.26361,-75.5671,1466.254638671875
5.9719465,-74.5814458,141.2473449707031
5.9738383,-74.5757211,141.5784606933594
3.7440073,-75.5742467,973.303466796875
5.3667212,-73.52096519999999,2616.21337890625
4.69658,-74.155,2546.7412109375
5.83937,-73.0415,2603.2373046875
5.8259,-73.0254,2518.389404296875
5.874190899999999,-75.5674243,1743.542236328125
6.25591,-75.5518,1627.37548828125
4.56445,-74.1099,2638.160400390625
4.3297,-74.4075,1503.629638671875
4.56323,-74.2182,2714.82177734375
4.58322,-74.2093,2554.474365234375
5.3040323,-73.7087528,2578.943115234375
2.95657,-75.2851,461.5323181152344
6.17821,-75.5583,1814.055541992188
6.30153,-75.5667,1551.4951171875
4.6663,-74.1284,2545.935302734375
4.55084,-74.1419,2590.310302734375
6.26668,-75.5511,1618.679565429688
5.9726914,-74.5956617,148.1411590576172
5.9728505,-74.5919696,151.2526550292969
4.56604,-74.08,2716.84033203125
4.69409,-74.05,2551.557373046875
5.948789,-75.575492,1813.533447265625
5.53134,-73.371,2851.133544921875
4.58709,-74.1827,2675.36962890625
4.56288,-74.1077,2670.09423828125
4.57751,-74.0848,2602.350830078125
5.5737,-73.3436,2755.53173828125
5.8302464,-72.16258880000001,1115.970703125
4.3326,-74.3671,1715.736938476562
4.32869,-74.3751,1679.133544921875
4.632147,-74.46301400000002,1263.028564453125
4.3988399,-74.0477117,2472.271240234375
4.53627,-74.1503,2808.65283203125
3.74973,-74.92773199999999,315.8754272460938
4.64124,-74.1847,2542.67919921875
4.53529,-74.0936,2837.288330078125
5.011883500000001,-72.7394539,443.280517578125
4.7211673,-74.2285743,2549.609619140625
5.066669999999999,-72.81661000000001,710.8711547851562
4.48921,-74.1008,2932.549072265625
4.45301,-75.127,900.3690795898438
4.092516799999999,-75.1545381,459.5845031738281
4.72383,-74.0887,2557.811767578125
4.56572,-74.2379,2553.825927734375
4.73419,-74.1096,2546.47509765625
4.74833,-74.1004,2553.35009765625
4.68766,-74.1081,2551.453125
4.51686,-74.123,2621.427978515625
4.7080313,-74.2187634,2545.838623046875
2.94142,-76.32941,1952.455932617188
6.4714987,-75.1644735,1950.675170898438
2.56204,-72.6348,184.1416931152344
2.1956342,-75.618073,880.6420288085938
4.6342,-74.168,2544.25634765625
4.60996,-74.0879,2572.147705078125
4.94318,-72.68946,331.0424194335938
5.71617,-71.47812990000001,163.8851928710938
