UBICACION,LAT_GEO,LON_GEO
"Córdoba, Chimá, CABECERA, CAROLINA",9.149379,-75.62803199999999
"Córdoba, Chimá, ISLA DE LOS PEREZ, MALEMBA",9.149379,-75.62803199999999
"Córdoba, Lorica, CAMPO ALEGRE, GUANABANO",9.1348351,-75.94632399999999
"Córdoba, Chimá, GUAYACAN, SANTERO",4.570868,-74.297333
"Córdoba, Chimá, COROZALITO, ISLA DE LOS PEREZ",9.04692,-75.6295899
"Córdoba, Lorica, LAS FLORES, BEBE CHICHA",9.1119636,-76.09606529999999
"Córdoba, Lorica, GUANABANO, LA DOCTRINA",9.2934074,-75.88990179999999
"Córdoba, Lorica, LA DOCTRINA, LAS FLORES",9.2934074,-75.88990179999999
"Córdoba, Pueblo Nuevo, SEVILLA, CORCOVADO",8.503178,-75.5075239
"Córdoba, Pueblo Nuevo, LAS GUAMAS, VENECIA",9.0163,-75.738541
"Córdoba, Planeta Rica, LAS CHIQUITAS, ARROYON",8.412599799999999,-75.5837623
"Córdoba, Planeta Rica, SAN ANDRES ARRIBA, EL DIAMANTE",8.412599799999999,-75.5837623
"Córdoba, San Pelayo, PAJONAL, LA VICTORIA",4.4664936,-75.94632399999999
"Córdoba, San Pelayo, EL GAS, CALDERON",8.9581922,-75.8381647
"Córdoba, San Carlos, GUACHARACAL, EL HATO",8.552992999999999,-75.671137
"Córdoba, San Carlos, EL HATO, GUACHARACAL",8.552992999999999,-75.671137
"Cesar, Astrea, EL TAMBO, MONTE CARMELO",9.496125,-73.976122
"Cesar, Astrea, EL CASCAJO, LA UNION",4.529822999999999,-76.1088001
"Cesar, Astrea, LA UNION, BELGICA",50.503887,4.469936
"Córdoba, Planeta Rica, EL DIAMANTE, GRACIAS A DIOS",8.412599799999999,-75.5837623
"Córdoba, Planeta Rica, EL TORNO, LAS MARGARITAS",8.412599799999999,-75.5837623
"Córdoba, San Carlos, GUACHARACAL, SANTA ROSA",8.552992999999999,-75.671137
"Cesar, Astrea, BAJO PALOMAS, EL TAMBO",2.4737781,-76.91820969999999
"Córdoba, San Pelayo, SAN JACINTO, BOCA LOPEZ",8.9581922,-75.8381647
"Córdoba, San Pelayo, LA SELVA, EL GAS",8.9581922,-75.8381647
"Córdoba, Pueblo Nuevo, LA CASTILLERA, CINTURA",8.69997,-75.33336
"Córdoba, Pueblo Nuevo, LA BALASTERA, PUEBLO REGADO",8.503178,-75.5075239
"Nariño, San Andrés de Tumaco, C ESTERO TABLONES, C RESCATE LAS VARAS",1.8086735,-78.7666995
"Nariño, San Andrés de Tumaco, C BAJO MIRA Y FRONTERA, C CORREDOR LLORENTE",1.8043702,-78.77295300000002
"Nariño, San Andrés de Tumaco, C BAJO MIRA Y FRONTERA, C EMBERAEPERARA",1.8043702,-78.77295300000002
"Nariño, San Andrés de Tumaco, C ESTERO TABLONES, C MEJICANO",1.8086735,-78.7666995
"Nariño, Buesaco, SACHACUY, BUESAQUITO",1.3533259,-77.1740822
"Valle del Cauca, Buenaventura, GAMBOA, SAN ANTONIO DE YURUMANGUI",3.2628759,-77.1553198
"Nariño, Buesaco, LA PALMA, RISARALDA",5.38279,-75.75357
"Santander, Chipatá, EL PAPAYO, LLANO DE SAN JUAN",6.061617,-73.637199
"Santander, Chipatá, SALITRE SECO, TIERRA NEGRA",6.061617,-73.637199
"Chocó, Riosucio, PALMA REAL, VILLA HERMOSA",7.435361599999999,-77.1112624
"Nariño, Buesaco, LLANOS JUANAMBÚ, ALTO HIGUERONES",1.3846384,-77.1562308
"Nariño, Buesaco, ALTO HIGUERONES, ALTAMIRA",1.43337,-77.13162
"Antioquia, Turbo, BONGA, EL LIMON",8.0951588,-76.7284559
"Santander, Chipatá, SAN MIGUEL, EL PAPAYO",6.061617,-73.637199
"Chocó, Riosucio, LA POSA, AGUAS NEGRAS",7.435361599999999,-77.1112624
"Cauca, Puracé, EL ROBLE, SAN JOSÉ",2.3806502,-76.45558559999999
"Cauca, Puracé, SAN PEDRILLO, SAN BARTOLO",2.3806502,-76.45558559999999
"Cauca, Puracé, EL DEPOSITO, SAN JOSÉ",2.3806502,-76.45558559999999
"Valle del Cauca, Buenaventura, SAN JOSÉ DE ANCHICAYA, CORDOBA",8.7509716,-75.8785438
"Nariño, Colón, CIMARRONES, LA VICTORIA",1.289151,-77.35794000000001
"Nariño, Colón, CIMARRONES, DAVID BAJO",1.6429021,-77.04493269999999
"Antioquia, Turbo, LAS BABILLAS, TUNTUN ARRIBA",8.0951588,-76.7284559
"Nariño, Colón, PALACIO CENTRO, PALACIO ALTO",1.6429021,-77.04493269999999
"Nariño, Colón, BELLAVISTA, LOS MOLINOS",4.8096809,-75.7011662
"Valle del Cauca, Buenaventura, CORDOBA, BAZAN",3.8802769,-76.9438622
"Chocó, Riosucio, CACHO, EUGENIA ARRIBA",7.435361599999999,-77.1112624
"Chocó, Riosucio, PALMA REAL, LA HONDA",5.6914548,-76.65897939999999
"Valle del Cauca, Alcalá, SAN FELIPE, EL DINDE",3.17754,-76.58946999999999
"Valle del Cauca, Alcalá, EL DINDE, BELGICA",50.503887,4.469936
"Valle del Cauca, Buenaventura, ZACARIAS, GUADUALITO",3.8828761,-77.01972789999999
"Cauca, Puracé, DOS QUEBRADAS, SANTA LETICIA",4.8318256,-75.68056779999999
"Antioquia, Turbo, LA ROSITA, COQUITALITO",8.0951588,-76.7284559
"Valle del Cauca, Alcalá, LA CUCHILLA, BELGICA",50.503887,4.469936
"Valle del Cauca, Alcalá, LA UNIÓN, LA ESTRELLA",4.529822999999999,-76.1088001
"Antioquia, Turbo, EL CONGO, ALTO CIRILO",8.0951588,-76.7284559
"Cauca, Popayán, EL SENDERO, LOS CERRILLOS",2.4448143,-76.6147395
"Cauca, Popayán, SAN BERNARDINO, LAS PIEDRAS",2.4448143,-76.6147395
"Cauca, Popayán, CAJETE, LAS PIEDRAS",2.4448143,-76.6147395
"Cauca, Popayán, QUINTANA, EL CHARCO",2.4448143,-76.6147395
"Cauca, Inzá, SAN MIGUEL, LA VENTA",18.9603899,-98.21377919999999
"Cauca, Inzá, POTRERITO, LAS LAJAS",3.228269,-76.582983
"Tolima, Chaparral, LA GLORIETA, SAN JORGE",3.6442,-75.61023
"Huila, Baraya, EL DARIEN, LA BATALLA",3.13754,-74.93997
"Cauca, Inzá, TUMBICHUCUE, LOS ALPES - RIO SUCIO",2.5041615,-76.1319953
"Cauca, Inzá, SINAI, SAN MIGUEL",2.5041615,-76.1319953
"Antioquia, Santa Bárbara, EL VERGEL, MORRO PLANCHO",5.874190899999999,-75.5674243
"Tolima, Chaparral, RIO NEGRO, LA BEGONIA",3.7440073,-75.5742467
"Tolima, Chaparral, HATO VIEJO, LA BEGONIA",3.7440073,-75.5742467
"Boyacá, Ventaquemada, SIATA, BOQUERON",5.3667212,-73.52096519999999
"Boyacá, Ventaquemada, SUPATA, FRUTILLO",5.3667212,-73.52096519999999
"Boyacá, Ventaquemada, BOJIRQUE, CHOQUIRA",5.4032779,-73.48036619999999
"Antioquia, Santa Bárbara, SAN ISIDRO PARTE BAJA, ZARCITOS",5.874190899999999,-75.5674243
"Tolima, Prado, LA CHICA, BELLO HORIZONTE",3.74973,-74.92773199999999
"Antioquia, Santa Bárbara, YARUMALITO, URSULA",5.948789,-75.575492
"Tolima, Chaparral, LAS MESETAS, SAN PABLO HERMOSAS",3.4267,-74.97751
"Boyacá, Ventaquemada, EL CARMEN, MONTOYA",5.3667212,-73.52096519999999
"Casanare, Tauramena, CHAPARRAL, LAGUNITAS",5.010684899999999,-72.750495
"Antioquia, Santa Bárbara, SAN MIGUELITO, LAS MERCEDES",5.874190899999999,-75.5674243
"Casanare, Támara, SAN PEDRO, ECCEHOMO",5.8302464,-72.16258880000001
"Cundinamarca, Une, COMBURA, LA MESA",4.632147,-74.46301400000002
"Cundinamarca, Une, COMBURA, AREA CON CONFLICTO CATASTRAL",4.3988399,-74.0477117
"Tolima, Prado, CAIDA DE TENA, TAFURITO",3.74973,-74.92773199999999
"Tolima, Prado, ACO, BUENOS AIRES",3.74973,-74.92773199999999
"Casanare, Tauramena, PALMAR, ACEITE ALTO",5.011883500000001,-72.7394539
"Casanare, Tauramena, IQUIA, MONSERRATE ALTO",5.066669999999999,-72.81661000000001
"Tolima, Prado, BELLO HORIZONTE, LA CHICA",4.092516799999999,-75.1545381
"Casanare, Támara, LOMA REDONDA, EL BUJIO",2.94142,-76.32941
"Casanare, Támara, CUNETE, SANTO DOMINGO",6.4714987,-75.1644735
"Cundinamarca, Une, SAN ISIDRO, LA MESA",4.632147,-74.46301400000002
"Casanare, Tauramena, BATALLERA, CHITAMENA BAJO",4.94318,-72.68946
"Cundinamarca, Une, LLANITOS, QUECA",4.20785,-74.11635
"Casanare, Támara, UNE, CAMPO HERMOSO",5.71617,-71.47812990000001
